,name,pca,adjusted_r2,r2,mae,mape,best_score,params,rae,job,size
1,dtr,35,2.734328115749121,-0.182496442556219,1826.6521739130435,0.31405485176338,,"{'dtr__criterion': 'poisson', 'pca__n_components': 35}",1.0632972261591387,faidx,90
2,lasso,18,1.4185284469084882,0.7146396952896672,893.0263125723748,0.14450068562548687,,"{'lasso__alpha': 0.01, 'pca__n_components': 18}",0.5198320811187631,faidx,90
3,elasticnet,20,1.4220969352914787,0.7122066350285372,889.244396658268,0.14394040934124383,,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.4, 'pca__n_components': 20}",0.5176306216627888,faidx,90
4,svr,18,8.416063659870414,-4.056407040820737,5282.763428285353,0.9365356016260347,,"{'pca__n_components': 18, 'svr__alpha': 0.1101, 'svr__loss': 'epsilon_insensitive', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",3.0751052553797025,faidx,90
5,big,xD,,0.0019284482490590227,1691.8260869565217,0.22129388793663768,,,0.7944565859997889,faidx,90
0,knn,28,1.189909507370226,0.8643503518784101,149.63636363636363,0.041290501241035345,,"{'knn__n_neighbors': 1, 'pca__n_components': 28}",0.2742647671415457,filtering_indel,85
1,dtr,34,1.2058610948542974,0.852956360818359,156.8181818181818,0.04431888435453893,,"{'dtr__criterion': 'mse', 'pca__n_components': 34}",0.28742814296425656,filtering_indel,85
2,lasso,18,1.1622324135995223,0.8841197045717697,152.30030580924972,0.04186241119082706,,"{'lasso__alpha': 0.01, 'pca__n_components': 18}",0.2791474404568413,filtering_indel,85
3,elasticnet,28,1.151253880890502,0.8919615136496414,140.38945697970556,0.038613383558698186,,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.30000000000000004, 'pca__n_components': 28}",0.25731634204394704,filtering_indel,85
4,svr,18,36.309588269880905,-24.22113447848636,3128.897001150613,0.9100771632456284,,"{'pca__n_components': 18, 'svr__alpha': 0.0101, 'svr__loss': 'epsilon_insensitive', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",5.734877449413723,filtering_indel,85
5,big,xD,,0.6872574060423455,201.3181818181818,0.06379844610892714,,,0.41678643534202114,filtering_indel,85
0,knn,28,1.4202046224709042,0.6998538410922113,223.36363636363637,0.06412322259734167,,"{'knn__n_neighbors': 1, 'pca__n_components': 28}",0.47122308429953347,filtering_snp,85
1,dtr,34,1.6042504771893815,0.5683925162932989,263.3181818181818,0.07339451546865255,,"{'dtr__criterion': 'mse', 'pca__n_components': 34}",0.5555139046290593,filtering_snp,85
2,lasso,18,1.091756722544685,0.9344594838966536,111.01379689213294,0.032857699922459176,,"{'lasso__alpha': 0.01, 'pca__n_components': 18}",0.23420223910640672,filtering_snp,85
3,elasticnet,28,1.0749312668850088,0.946477666510708,107.69162275401389,0.03130005611294361,,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.30000000000000004, 'pca__n_components': 28}",0.2271935551082827,filtering_snp,85
4,svr,18,46.625428837001685,-31.589592026429777,3149.306092059704,0.911106396779174,,"{'pca__n_components': 18, 'svr__alpha': 0.0101, 'svr__loss': 'epsilon_insensitive', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",6.643989837664032,filtering_snp,85
5,big,xD,,0.4793384943378941,348.54545454545456,0.3740198937248156,,,0.6193679139987027,filtering_snp,85
0,knn,22,0.9657744518989246,0.9687263056978519,10728.33953488372,0.10377370261240046,0.930902945164467,"{'knn__n_neighbors': 1, 'pca__n_components': 22}",0.1363042478227353,genotype_gvcfs,1719
1,dtr,31,0.9588984647897169,0.9624433524418858,11718.786046511628,0.1170531032960573,0.946935898144751,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 31}",0.14888793482640705,genotype_gvcfs,1719
