,dataset,pipeline,name,pca,adjusted_r2,r2,mae,mape,best_score,params
0,ShorterThan1.2Kms,two_step_8_cat_ctime_sum,knn,61,0.83700524302376,0.8373441504268682,55.600551230598136,0.21159866582753134,0.82712977721158,"{'knn__n_neighbors': 5, 'pca__n_components': 61}"
1,ShorterThan1.2Kms,two_step_8_cat_ctime_sum,dtr,70,0.7279231526521904,0.7284888693629061,69.19403075286495,0.2622596019191687,0.6842494611544553,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 70}"
2,ShorterThan1.2Kms,two_step_8_cat_ctime_sum,lasso,59,0.7436913338509816,0.7442242645172812,83.68433964258654,0.40868953500060484,0.7428111522111802,"{'lasso__alpha': 0.8600000000000001, 'pca__n_components': 59}"
3,ShorterThan1.2Kms,two_step_8_cat_ctime_sum,elasticnet,80,0.7510893038785655,0.7516068522905102,82.77557772575825,0.3992354648601629,0.7498440745239713,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.4, 'pca__n_components': 80}"
4,ShorterThan1.2Kms,two_step_8_cat_ctime_sum,svr,46,0.7508134490480826,0.7513315710321222,82.81658480345381,0.39884489007269613,0.7495452089947906,"{'pca__n_components': 46, 'svr__alpha': 0.050100000000000006, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,ShorterThan1.2Kms,two_step_9_cat_ctime_sum,knn,78,0.8406153123629325,0.8409544205206672,55.09654272037136,0.21195990883268315,0.8310673544447922,"{'knn__n_neighbors': 5, 'pca__n_components': 78}"
1,ShorterThan1.2Kms,two_step_9_cat_ctime_sum,dtr,65,0.7358842421352274,0.7364461769697841,68.36074174362942,0.2639225167647798,0.683884132155203,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 65}"
2,ShorterThan1.2Kms,two_step_9_cat_ctime_sum,lasso,78,0.7668409528035002,0.7673370238886599,81.22224969719599,0.39844282815443477,0.7639780443374915,"{'lasso__alpha': 0.060000000000000005, 'pca__n_components': 78}"
3,ShorterThan1.2Kms,two_step_9_cat_ctime_sum,elasticnet,69,0.7532738322058408,0.7537987688071291,83.16604759421337,0.41121744715155684,0.7530328300484357,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.30000000000000004, 'pca__n_components': 69}"
4,ShorterThan1.2Kms,two_step_9_cat_ctime_sum,svr,47,0.7183796874125932,0.718978865080147,74.61888738372625,0.2657366890937345,0.7146085586623514,"{'pca__n_components': 47, 'svr__alpha': 0.0001, 'svr__loss': 'epsilon_insensitive', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
