,name,pca,adjusted_r2,r2,mae,mape,best_score,params,rae,job,size
4,svr,19,8.416063659870414,-4.056407040820737,5282.763428285353,0.9365356016260347,,"{'pca__n_components': 19, 'svr__alpha': 0.0301, 'svr__loss': 'epsilon_insensitive', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",3.0751052553797025,faidx,90
0,knn,28,1.189909507370226,0.8643503518784101,149.63636363636363,0.041290501241035345,,"{'knn__n_neighbors': 1, 'pca__n_components': 28}",0.2742647671415457,filtering_indel,85
1,dtr,34,1.2058610948542974,0.852956360818359,156.8181818181818,0.04431888435453893,,"{'dtr__criterion': 'mse', 'pca__n_components': 34}",0.28742814296425656,filtering_indel,85
2,lasso,26,1.1615733046144971,0.8845904967039306,151.75290735926217,0.041700264748622214,,"{'lasso__alpha': 0.060000000000000005, 'pca__n_components': 26}",0.2781441274601133,filtering_indel,85
3,elasticnet,21,1.1530492815039024,0.8906790846400697,143.14462788777155,0.03937033921464463,,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.5, 'pca__n_components': 21}",0.26236622623768624,filtering_indel,85
4,svr,18,43.07060322147265,-29.050430872480465,3426.654481926502,0.9998820810016312,,"{'pca__n_components': 18, 'svr__alpha': 0.1201, 'svr__loss': 'huber', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",6.280629726100342,filtering_indel,85
0,knn,28,1.4202046224709042,0.6998538410922113,223.36363636363637,0.06412322259734167,,"{'knn__n_neighbors': 1, 'pca__n_components': 28}",0.47122308429953347,filtering_snp,85
1,dtr,34,1.6042504771893815,0.5683925162932989,263.3181818181818,0.07339451546865255,,"{'dtr__criterion': 'mse', 'pca__n_components': 34}",0.5555139046290593,filtering_snp,85
2,lasso,26,1.0897844909464633,0.9358682207525262,110.02613590133565,0.03259707507506778,,"{'lasso__alpha': 0.060000000000000005, 'pca__n_components': 26}",0.23211860245944532,filtering_snp,85
3,elasticnet,21,1.0774925905093051,0.9446481496362107,108.25724532125969,0.0316054103526753,,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.5, 'pca__n_components': 21}",0.2283868308582041,filtering_snp,85
4,svr,18,55.38353032419112,-37.84537880299366,3447.0635728355924,0.99988343067199,,"{'pca__n_components': 18, 'svr__alpha': 0.1201, 'svr__loss': 'huber', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",7.272159224358865,filtering_snp,85
0,knn,31,0.9657744518989246,0.9687263056978519,10728.33953488372,0.10377370261240046,-0.18652180418042186,"{'knn__n_neighbors': 1, 'pca__n_components': 31}",0.1363042478227353,genotype_gvcfs,1719
1,dtr,33,0.9511020937247465,0.9553193956645702,12400.362790697674,0.11759966014740694,-0.18358711762917918,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 33}",0.15754741145349116,genotype_gvcfs,1719
2,lasso,35,0.9466179059839953,0.9512219560506437,15795.134660655995,0.2153504905840869,-0.20416750778736753,"{'lasso__alpha': 0.9600000000000001, 'pca__n_components': 35}",0.20067820767408864,genotype_gvcfs,1719
3,elasticnet,33,0.9393057203785722,0.9445404251477862,16091.112905713911,0.2146833122352184,-0.2007227300712418,"{'elasticnet__alpha': 0.11, 'elasticnet__l1_ratio': 0.0, 'pca__n_components': 33}",0.20443863042481675,genotype_gvcfs,1719
4,svr,19,0.9426127269668323,0.947562212053609,15927.72388522787,0.21682338500850712,-0.19735846145666075,"{'pca__n_components': 19, 'svr__alpha': 0.050100000000000006, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",0.20236276234966594,genotype_gvcfs,1719
0,knn,32,0.9473149230542133,0.9481158054892972,2143.73196440794,0.03538874237514348,-0.2179441698896209,"{'knn__n_neighbors': 3, 'pca__n_components': 32}",0.1912532488275476,haplotype_caller,9739
1,dtr,20,0.8902931419213249,0.8919608303966375,2921.2217659137577,0.04869191282392742,-0.2989432815027042,"{'dtr__criterion': 'mae', 'pca__n_components': 20}",0.2606170745935828,haplotype_caller,9739
2,lasso,25,0.9076768320876827,0.9090802656179849,3094.910261871963,0.050679839118700505,-0.2882839826310457,"{'lasso__alpha': 0.16000000000000003, 'pca__n_components': 25}",0.2761127100962943,haplotype_caller,9739
3,elasticnet,31,0.9004249924143817,0.9019386634417719,3303.093280417236,0.054898509750728276,-0.2959882450393211,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.5, 'pca__n_components': 31}",0.29468577767589976,haplotype_caller,9739
4,svr,19,0.8761777892309278,0.8780600496247059,3979.5494506424534,0.06827242473661725,-0.3390248618474566,"{'pca__n_components': 19, 'svr__alpha': 0.040100000000000004, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'elasticnet'}",0.3550358785247922,haplotype_caller,9739
0,knn,36,-0.8574166369192455,-0.28944626034063314,406.844262295082,0.08391305023192015,-0.31988258276610876,"{'knn__n_neighbors': 1, 'pca__n_components': 36}",0.5998351299584824,indel_realign,487
1,dtr,20,-1.0290845744944686,-0.4086206963432675,427.5245901639344,0.0886125845087579,-0.5887498996502004,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 20}",0.6303253895109203,indel_realign,487
2,lasso,35,0.5756983303869558,0.705443469028961,384.4704337219315,0.10315340486510326,-0.6742986711083676,"{'lasso__alpha': 0.9600000000000001, 'pca__n_components': 35}",0.5668480397777425,indel_realign,487
3,elasticnet,21,0.6701591722503852,0.77101959065316,334.75109393265274,0.08680139079704008,-0.5892040205355296,"{'elasticnet__alpha': 0.46, 'elasticnet__l1_ratio': 0.5, 'pca__n_components': 21}",0.49354380666477493,indel_realign,487
4,svr,18,0.6693359652320343,0.770448108094966,341.76963966588215,0.08941869008767249,-0.6316339686210377,"{'pca__n_components': 18, 'svr__alpha': 0.1901, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",0.503891673605953,indel_realign,487
0,knn,29,0.296123051994549,0.6676136634418703,8199.684931506848,0.7839062820604965,-0.5608932309672588,"{'knn__n_neighbors': 1, 'pca__n_components': 29}",0.3060767669730746,mAdd,290
1,dtr,36,-2.124536115893329,-0.47547538806073875,21358.904109589042,3.2965231342549015,-0.8759706212837493,"{'dtr__criterion': 'mse', 'pca__n_components': 36}",0.7972823798181653,mAdd,290
2,lasso,19,0.14727768487425552,0.5973255734128429,25442.63602179668,20.594822147133836,-0.8251125620035391,"{'lasso__alpha': 0.01, 'pca__n_components': 19}",0.9497193906684818,mAdd,290
3,elasticnet,31,-0.28350432883002963,0.39390073360804156,24504.553740918884,23.868468317765203,-0.8609955710296129,"{'elasticnet__alpha': 0.51, 'elasticnet__l1_ratio': 0.0, 'pca__n_components': 31}",0.9147027779468709,mAdd,290
4,svr,18,-1.342202013789164,-0.10603983984488297,19331.340714912203,0.684755431487664,-0.6675356795643397,"{'pca__n_components': 18, 'svr__alpha': 0.0001, 'svr__loss': 'epsilon_insensitive', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",0.7215977585358213,mAdd,290
0,knn,27,0.9187652472744365,0.9191967430255648,585.4099930118798,0.22660001815284647,-0.1514990280228093,"{'knn__n_neighbors': 2, 'pca__n_components': 27}",0.14233255425079877,mBackground,28618
1,dtr,28,0.9100059348409658,0.9104839575521824,630.0592592592593,0.2836617516148121,-0.16422536266700993,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 28}",0.15318826936716942,mBackground,28618
2,lasso,37,0.8614363276098939,0.8621723381705346,1353.0867305449938,2.9911875334051383,-0.3281815934100729,"{'lasso__alpha': 0.21000000000000002, 'pca__n_components': 37}",0.3289801895770219,mBackground,28618
3,elasticnet,27,0.6505886771516354,0.6524446500714338,1977.461563641103,3.599657694994193,-0.4655095532338252,"{'elasticnet__alpha': 0.46, 'elasticnet__l1_ratio': 0.5, 'pca__n_components': 27}",0.48078638671291873,mBackground,28618
4,svr,19,0.6733171310516928,0.6750523769309262,1907.9526151945631,3.4540978591438405,-0.466098955594197,"{'pca__n_components': 19, 'svr__alpha': 0.1101, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'elasticnet'}",0.463886459663873,mBackground,28618
0,knn,31,0.8536015109177769,0.9319556318350231,2923.8333333333335,0.15757080319658667,-0.33272723659451225,"{'knn__n_neighbors': 1, 'pca__n_components': 31}",0.14844331465299165,mBgModel,288
1,dtr,24,-0.37582975944408803,0.3605298301175366,4779.388888888889,0.15203875360222419,-0.20311402295507885,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 24}",0.242650058262217,mBgModel,288
2,lasso,37,0.2411660138380356,0.6473025134740166,9549.366068984906,3.0015746273448207,-0.8085568014113578,"{'lasso__alpha': 0.9600000000000001, 'pca__n_components': 37}",0.4848222831151781,mBgModel,288
3,elasticnet,19,-0.19539514189786744,0.4443938072869067,7972.2281505796645,1.3801432897639316,-0.6505502592572234,"{'elasticnet__alpha': 0.51, 'elasticnet__l1_ratio': 0.1, 'pca__n_components': 19}",0.40475083116066857,mBgModel,288
4,svr,16,-0.04387625444577559,0.5148180789195691,7724.261700886597,1.6547174407452145,-0.4448234360308688,"{'pca__n_components': 16, 'svr__alpha': 0.1401, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",0.39216154937927206,mBgModel,288
0,knn,34,0.08913341091115679,0.5766394726770165,7353.399305555556,0.593432001999767,-0.5104401578936708,"{'knn__n_neighbors': 4, 'pca__n_components': 34}",0.3589813358629512,mConcatFit,288
1,dtr,22,-0.38447063518927194,0.35651364843315525,9185.111111111111,0.5027946247930575,-0.641338320138886,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 22}",0.44840261213955523,mConcatFit,288
2,lasso,37,0.23740877322668552,0.6455561903729665,9395.269324956847,9.525625517970306,-0.588844827636699,"{'lasso__alpha': 0.9600000000000001, 'pca__n_components': 37}",0.45866220409343106,mConcatFit,288
3,elasticnet,24,-0.14377064816445406,0.4683882902897608,9972.366223873134,6.895989149086509,-0.5967557006061035,"{'elasticnet__alpha': 0.36000000000000004, 'elasticnet__l1_ratio': 0.0, 'pca__n_components': 24}",0.48683516289614687,mConcatFit,288
4,svr,19,0.02143068183445984,0.5451720070498194,9265.162933339367,7.738082097097404,-0.6961362552305854,"{'pca__n_components': 19, 'svr__alpha': 0.1101, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",0.45231061562034697,mConcatFit,288
0,knn,21,0.8071363374103185,0.8074038809133451,285.88881689421044,0.2607760847188248,-0.24028983901031892,"{'knn__n_neighbors': 12, 'pca__n_components': 21}",0.23255756246078918,mDiffFit,109575
1,dtr,30,0.8056059846510073,0.8058756510834266,289.4347119807257,0.3151348698743963,-0.24146846689960033,"{'dtr__criterion': 'mse', 'pca__n_components': 30}",0.23544198699694316,mDiffFit,109575
2,lasso,12,0.5428745722158289,0.5435087037916256,727.4742231717424,2.181517543660474,-0.5874807838984466,"{'lasso__alpha': 0.46, 'pca__n_components': 12}",0.5917672259159386,mDiffFit,109575
3,elasticnet,22,0.5429252856962861,0.5435593469215458,743.3459952339867,2.583392485506149,-0.604264882724991,"{'elasticnet__alpha': 0.41000000000000003, 'elasticnet__l1_ratio': 0.0, 'pca__n_components': 22}",0.6046781913144019,mDiffFit,109575
4,svr,21,0.4762068566121731,0.47693347069054126,527.7112575504975,0.44745568569216815,-0.43196976991094266,"{'pca__n_components': 21, 'svr__alpha': 0.0001, 'svr__loss': 'epsilon_insensitive', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",0.42926913011946755,mDiffFit,109575
0,knn,37,-0.3851166155476371,0.38891914019957186,1728.682274247492,1.2009887524442746,-0.7110936432399337,"{'knn__n_neighbors': 39, 'pca__n_components': 37}",0.6704961947220237,mImgtbl,276
1,dtr,24,-0.23782734128745786,0.45389970237318034,1173.2753623188405,1.1349333637050565,-0.6349907636055148,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 24}",0.45507302152347945,mImgtbl,276
2,lasso,21,-13.061843437062157,-5.203754457527422,9863.132935033991,24.912979158536846,-7.905158836245946,"{'lasso__alpha': 0.46, 'pca__n_components': 21}",3.8255688737576303,mImgtbl,276
3,elasticnet,22,-2.2978879914427677,-0.45495058446004455,4360.629148687335,10.048625932405974,-6.397049265117757,"{'elasticnet__alpha': 0.51, 'elasticnet__l1_ratio': 0.0, 'pca__n_components': 22}",1.6913375548213687,mImgtbl,276
4,svr,19,-1.1995838625033381,0.029595354777939065,1599.9994211670414,0.6106816802329724,-0.623680022589342,"{'pca__n_components': 19, 'svr__alpha': 0.0001, 'svr__loss': 'epsilon_insensitive', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",0.6205845570533989,mImgtbl,276
0,knn,28,4.073489004213954,0.1521409643547712,96.4,0.10298668460070166,,"{'knn__n_neighbors': 1, 'pca__n_components': 28}",0.6829775174758955,mJPEG,119
1,dtr,35,4.120885847154863,0.13906597319865843,91.46666666666667,0.09401333776185439,,"{'dtr__criterion': 'mse', 'pca__n_components': 35}",0.6480256943132287,mJPEG,119
2,lasso,21,3.928848433214402,0.19204181152706146,83.59277285536051,0.08041196564573636,,"{'lasso__alpha': 0.01, 'pca__n_components': 21}",0.5922405029427443,mJPEG,119
3,elasticnet,18,3.8488457818904527,0.21411150844401305,83.09012654728278,0.08070206618061239,,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.30000000000000004, 'pca__n_components': 18}",0.588679339792751,mJPEG,119
4,svr,19,5.764720272739018,-0.3144055924797291,166.20115632609793,0.21833014765161227,,"{'pca__n_components': 19, 'svr__alpha': 0.0301, 'svr__loss': 'epsilon_insensitive', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",1.1775067754068629,mJPEG,119
0,knn,30,0.9769219785719572,0.9771332604840632,1150.3858525104602,0.042587979038692,-0.1271411579161561,"{'knn__n_neighbors': 4, 'pca__n_components': 30}",0.11165419066004804,mProject,15294
1,dtr,11,0.9523485161710362,0.9527847709275138,1729.064069037657,0.06494746786172877,-0.17828506532846133,"{'dtr__criterion': 'mae', 'pca__n_components': 11}",0.16781956141625412,mProject,15294
2,lasso,34,0.5891898240850885,0.5929508379896195,7629.963361855987,0.29758869333305416,-0.7442528784016929,"{'lasso__alpha': 0.9600000000000001, 'pca__n_components': 34}",0.7405492531699083,mProject,15294
3,elasticnet,19,0.5294625843188017,0.5337704078994561,6954.006191678755,0.2466345643015111,-0.6816024543280002,"{'elasticnet__alpha': 0.51, 'elasticnet__l1_ratio': 0.0, 'pca__n_components': 19}",0.6749421782982109,mProject,15294
4,svr,18,0.5552168598056257,0.5592889000637484,7186.3422123388555,0.26277281944745057,-0.6641486730643684,"{'pca__n_components': 18, 'svr__alpha': 0.1701, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",0.6974922559885516,mProject,15294
0,knn,24,0.849602065030261,0.8510351640758135,119.4918254376931,0.1007437597388908,-0.3082058960637126,"{'knn__n_neighbors': 4, 'pca__n_components': 24}",0.28468936149738927,mProjectPP,15536
1,dtr,22,0.8189034343005193,0.8206290518464582,134.1887229660144,0.12018739061380707,-0.3510678613323694,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 22}",0.3197047306074047,mProjectPP,15536
2,lasso,29,0.6372433632547629,0.6406999678284364,179.70145620776518,0.14152168848477267,-0.4389257062876396,"{'lasso__alpha': 0.9600000000000001, 'pca__n_components': 29}",0.42813885084227565,mProjectPP,15536
