,dataset,pipeline,name,pca,adjusted_r2,r2,mae,mape,best_score,params
1,Between2KmsAnd25Kms,10cat_more_res,dtr,59,0.8251107323659723,0.8308943359846692,1548.2939203475014,0.18430530574900061,0.7998909582421307,"{'dtr__criterion': 'friedman_mse', 'dtr__max_depth': 15, 'pca__n_components': 59}"
2,Between2KmsAnd25Kms,10cat_more_res,lasso,133,0.9147749948577671,0.9175933933496376,1280.6264657528975,0.15599799280811066,0.9217317256037152,"{'lasso__alpha': 0.9600000000000001, 'pca__n_components': 133}"
3,Between2KmsAnd25Kms,10cat_more_res,mlp,109,0.9443820423861431,0.9462213331858116,990.1422659323567,0.11516234082829241,0.9378110309891192,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 109}"
4,Between2KmsAnd25Kms,10cat_more_res,elasticnet,115,0.893607633866483,0.8971260388669497,1415.4146303814334,0.1815034600784764,0.900611922410461,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.0, 'pca__n_components': 115}"
5,Between2KmsAnd25Kms,10cat_more_res,svr,68,0.8778865212954128,0.8819248248853473,1502.7119394622696,0.1955106395507249,0.8869506011998894,"{'pca__n_components': 68, 'svr__alpha': 0.0001, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}"
0,Between2KmsAnd25Kms,11cat_more_res,knn,130,0.9233317914238495,0.9259807423618212,1078.511801957398,0.12433472498258102,0.9035178566979315,"{'knn__n_neighbors': 3, 'pca__n_components': 130}"
1,Between2KmsAnd25Kms,11cat_more_res,dtr,83,0.8284422517430993,0.8343697158980761,1713.367073607862,0.19232588886046925,0.8158235380145127,"{'dtr__criterion': 'mse', 'dtr__max_depth': 10, 'pca__n_components': 83}"
2,Between2KmsAnd25Kms,11cat_more_res,lasso,81,0.8933634470616232,0.8970478294435019,1402.8975370051687,0.18283686014092798,0.9009716921197928,"{'lasso__alpha': 0.46, 'pca__n_components': 81}"
3,Between2KmsAnd25Kms,11cat_more_res,mlp,102,0.9454148269445138,0.9473007904755524,995.125743647356,0.11638780207884929,0.9362012481184634,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 102}"
4,Between2KmsAnd25Kms,11cat_more_res,elasticnet,115,0.8967332810981027,0.9003012328864209,1380.5110433908744,0.1780335311583014,0.9044802653097288,"{'elasticnet__alpha': 0.060000000000000005, 'elasticnet__l1_ratio': 0.9, 'pca__n_components': 115}"
5,Between2KmsAnd25Kms,11cat_more_res,svr,71,0.8757742752675907,0.8800663782938832,1502.0655623642706,0.2017295966520577,0.8878600524597107,"{'pca__n_components': 71, 'svr__alpha': 0.0001, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,ExecutedMoreThan3Ktimes,continuous_more_res,knn,45,0.9797876436895523,0.979819404148871,650.2920241350051,0.2174530413153128,0.9741886131799944,"{'knn__n_neighbors': 4, 'pca__n_components': 45}"
1,ExecutedMoreThan3Ktimes,continuous_more_res,dtr,44,0.9692892507302739,0.969337507721584,775.8933787845881,0.25093869869609475,0.9646836077140218,"{'dtr__criterion': 'mse', 'dtr__max_depth': 25, 'pca__n_components': 44}"
2,ExecutedMoreThan3Ktimes,continuous_more_res,lasso,18,0.9140498843344429,0.9141849410843887,2618.8334016211834,5.239656081620776,0.91230898990586,"{'lasso__alpha': 0.91, 'pca__n_components': 18}"
3,ExecutedMoreThan3Ktimes,continuous_more_res,mlp,37,0.9892188950599061,0.9892358358281966,505.8352346657627,0.4537148936672746,0.9877008845465745,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 37}"
4,ExecutedMoreThan3Ktimes,continuous_more_res,elasticnet,41,0.9124953099361344,0.9126328094491197,2609.5015184687104,5.101055553542529,0.9108258638417159,"{'elasticnet__alpha': 0.11, 'elasticnet__l1_ratio': 0.2, 'pca__n_components': 41}"
5,ExecutedMoreThan3Ktimes,continuous_more_res,svr,26,0.9160949596524582,0.9162268028962476,2514.6556507318514,4.667281310348292,0.9144178556411768,"{'pca__n_components': 26, 'svr__alpha': 0.0101, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}"
0,ExecutedMoreThan3Ktimes,4cat_more_res,knn,64,0.9604869383076005,0.9605738620762513,1008.8614499858585,0.2631440593192989,0.9571484667985531,"{'knn__n_neighbors': 5, 'pca__n_components': 64}"
1,ExecutedMoreThan3Ktimes,4cat_more_res,dtr,10,0.9330903513305194,0.9332375441465742,1611.9050466747076,1.609040815218406,0.9287232371160419,"{'dtr__criterion': 'friedman_mse', 'dtr__max_depth': 5, 'pca__n_components': 10}"
2,ExecutedMoreThan3Ktimes,4cat_more_res,lasso,54,0.9284198024187401,0.9285772698552797,2184.1606117490887,4.199085088234258,0.9266182449046569,"{'lasso__alpha': 0.9600000000000001, 'pca__n_components': 54}"
3,ExecutedMoreThan3Ktimes,4cat_more_res,mlp,37,0.9596553138129227,0.9597440670509206,1107.614149133205,0.5959899699088228,0.9513448028214568,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 37}"
4,ExecutedMoreThan3Ktimes,4cat_more_res,elasticnet,62,0.9271877574412207,0.927347935221834,2248.041097033269,4.61752890123714,0.9258593370886676,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.1, 'pca__n_components': 62}"
5,ExecutedMoreThan3Ktimes,4cat_more_res,svr,32,0.923546583600226,0.923714771505568,2378.9520434359833,5.279895249295932,0.9222519028326184,"{'pca__n_components': 32, 'svr__alpha': 0.050100000000000006, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'elasticnet'}"
0,ExecutedMoreThan3Ktimes,5cat_more_res,knn,52,0.9589979115315734,0.95909455378912,1073.4124194714184,0.23617351722250204,0.9563445874765009,"{'knn__n_neighbors': 5, 'pca__n_components': 52}"
1,ExecutedMoreThan3Ktimes,5cat_more_res,dtr,56,0.9440265142409445,0.9441584442042358,1466.293231728525,1.0876076299889486,0.9415504669670507,"{'dtr__criterion': 'friedman_mse', 'dtr__max_depth': 5, 'pca__n_components': 56}"
2,ExecutedMoreThan3Ktimes,5cat_more_res,lasso,65,0.93138020409807,0.9315419415177005,2129.4046386776313,3.7435669904548883,0.9301114683107911,"{'lasso__alpha': 0.91, 'pca__n_components': 65}"
