,name,pca,adjusted_r2,r2,mae,mape,best_score,params,rae,job,size
1,dtr,35,2.734328115749121,-0.182496442556219,1826.6521739130435,0.31405485176338,,"{'dtr__criterion': 'poisson', 'pca__n_components': 35}",1.0632972261591387,faidx,90
2,lasso,18,1.4185284469084873,0.7146396952896676,893.0263125723734,0.14450068562548665,,"{'lasso__alpha': 0.01, 'pca__n_components': 18}",0.5198320811187622,faidx,90
3,elasticnet,20,1.4220969352914783,0.7122066350285375,889.2443966582675,0.14394040934124366,,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.4, 'pca__n_components': 20}",0.5176306216627885,faidx,90
4,svr,18,8.416063659870414,-4.056407040820737,5282.763428285353,0.9365356016260347,,"{'pca__n_components': 18, 'svr__alpha': 0.1101, 'svr__loss': 'epsilon_insensitive', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",3.0751052553797025,faidx,90
5,big,xD,,0.9593684563035114,1866.5576492617622,0.24612635059235002,,,0.09290533130204824,faidx,90
0,knn,28,1.189909507370226,0.8643503518784101,149.63636363636363,0.041290501241035345,,"{'knn__n_neighbors': 1, 'pca__n_components': 28}",0.2742647671415457,filtering_indel,85
1,dtr,34,1.2058610948542974,0.852956360818359,156.8181818181818,0.04431888435453893,,"{'dtr__criterion': 'mse', 'pca__n_components': 34}",0.28742814296425656,filtering_indel,85
2,lasso,18,1.1622324135995223,0.8841197045717698,152.30030580924955,0.041862411190827,,"{'lasso__alpha': 0.01, 'pca__n_components': 18}",0.279147440456841,filtering_indel,85
3,elasticnet,28,1.1512538808905015,0.8919615136496417,140.3894569797055,0.03861338355869817,,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.30000000000000004, 'pca__n_components': 28}",0.257316342043947,filtering_indel,85
4,svr,18,36.309588269880905,-24.22113447848636,3128.897001150613,0.9100771632456284,,"{'pca__n_components': 18, 'svr__alpha': 0.0101, 'svr__loss': 'epsilon_insensitive', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",5.734877449413723,filtering_indel,85
5,big,xD,,0.9593684563035114,1866.5576492617622,0.24612635059235002,,,0.09290533130204824,filtering_indel,85
0,knn,28,1.4202046224709042,0.6998538410922113,223.36363636363637,0.06412322259734167,,"{'knn__n_neighbors': 1, 'pca__n_components': 28}",0.47122308429953347,filtering_snp,85
1,dtr,34,1.6042504771893815,0.5683925162932989,263.3181818181818,0.07339451546865255,,"{'dtr__criterion': 'mse', 'pca__n_components': 34}",0.5555139046290593,filtering_snp,85
2,lasso,18,1.0917567225446856,0.9344594838966531,111.01379689213296,0.032857699922459176,,"{'lasso__alpha': 0.01, 'pca__n_components': 18}",0.23420223910640675,filtering_snp,85
3,elasticnet,28,1.0749312668850093,0.9464776665107076,107.69162275401399,0.03130005611294363,,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.30000000000000004, 'pca__n_components': 28}",0.22719355510828293,filtering_snp,85
4,svr,18,46.625428837001685,-31.589592026429777,3149.306092059704,0.911106396779174,,"{'pca__n_components': 18, 'svr__alpha': 0.0101, 'svr__loss': 'epsilon_insensitive', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",6.643989837664032,filtering_snp,85
5,big,xD,,0.9593684563035114,1866.5576492617622,0.24612635059235002,,,0.09290533130204824,filtering_snp,85
0,knn,29,0.9657744518989246,0.9687263056978519,10728.33953488372,0.10377370261240046,0.9407120135640841,"{'knn__n_neighbors': 1, 'pca__n_components': 29}",0.1363042478227353,genotype_gvcfs,1719
1,dtr,34,0.9612885964179692,0.9646273421814543,11288.746511627907,0.1143746739025326,0.9228780005261311,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 34}",0.1434242547158204,genotype_gvcfs,1719
2,lasso,35,0.9466179059839953,0.9512219560506437,15795.134660655973,0.2153504905840863,0.9446248521915728,"{'lasso__alpha': 0.9600000000000001, 'pca__n_components': 35}",0.20067820767408837,genotype_gvcfs,1719
3,elasticnet,31,0.944870368022995,0.9496251381468859,15815.666359176392,0.21503341023130096,0.9421910410291373,"{'elasticnet__alpha': 0.060000000000000005, 'elasticnet__l1_ratio': 0.8, 'pca__n_components': 31}",0.20093906423201602,genotype_gvcfs,1719
4,svr,18,0.9434168804771992,0.9482970096668114,16190.578192327273,0.22539943774840804,0.9425061413664664,"{'pca__n_components': 18, 'svr__alpha': 0.0801, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",0.20570234332579496,genotype_gvcfs,1719
5,big,xD,,0.9593684563035114,1866.5576492617622,0.24612635059235002,,,0.09290533130204824,genotype_gvcfs,1719
0,knn,16,0.9483758411045888,0.9491605961905092,2158.0439425051336,0.035624789478266604,0.9338191151744535,"{'knn__n_neighbors': 4, 'pca__n_components': 16}",0.19253009329956297,haplotype_caller,9739
1,dtr,36,0.9241544837155026,0.9253074352777566,2553.4907597535935,0.0431788315890681,0.8751341908124401,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 36}",0.22780991829306174,haplotype_caller,9739
2,lasso,26,0.9076265543846496,0.9090307522021385,3095.365687192335,0.05068664931864784,0.9002248598417026,"{'lasso__alpha': 0.56, 'pca__n_components': 26}",0.2761533409090851,haplotype_caller,9739
3,elasticnet,23,0.8963941001447316,0.8979690460340681,3399.7273627212276,0.05679944127374543,0.9044040479535298,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.2, 'pca__n_components': 23}",0.3033069964173068,haplotype_caller,9739
4,svr,19,0.905655264138639,0.9070894281595389,3186.5387478711486,0.05258764806686672,0.8951363824457604,"{'pca__n_components': 19, 'svr__alpha': 0.10010000000000001, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",0.28428735409258027,haplotype_caller,9739
5,big,xD,,0.9593684563035114,1866.5576492617622,0.24612635059235002,,,0.09290533130204824,haplotype_caller,9739
0,knn,32,0.5325662473193528,0.6755005353291375,278.7254098360656,0.06136948295166803,0.6653369211902218,"{'knn__n_neighbors': 4, 'pca__n_components': 32}",0.4109417482960253,indel_realign,487
1,dtr,20,-1.0290845744944686,-0.4086206963432675,427.5245901639344,0.0886125845087579,0.13721492815956948,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 20}",0.6303253895109203,indel_realign,487
2,lasso,36,0.575698330386956,0.7054434690289612,384.47043372193144,0.10315340486510324,0.39026625200664006,"{'lasso__alpha': 0.9600000000000001, 'pca__n_components': 36}",0.5668480397777423,indel_realign,487
3,elasticnet,23,0.6738054093789771,0.7735508627093726,343.88390925191516,0.09063727436655955,0.44988849216622223,"{'elasticnet__alpha': 0.11, 'elasticnet__l1_ratio': 0.0, 'pca__n_components': 23}",0.5070088692737771,indel_realign,487
