workflowName	size	executable	args	inputs	outputs	name	cpu.manufacturer	cpu.brand	cpu.speed	cpu.cores	cpu.physicalCores	cpu.processors	mem.total	mem.free	mem.used	mem.active	mem.available	mem.buffers	mem.cached	mem.slab	mem.buffcache	mem.swaptotal	mem.swapused	mem.swapfree	total_cpus	avg_cpus	avg_pods	total_ram_available	average_ram_available	execTimeMs
montage2	0.01	mAdd	4	6	2	mAdd	Intel®	Xeon® Platinum 8259CL	2.5	2	2	1	8257200128	4979294208	3277905920	1018281984	7238918144	2768896	2132545536	606294016	2741608448	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	182.0
montage2	0.25	mAdd	4	62	2	mAdd	Intel®	Xeon®	2.2	4	4	1	15767138304	12040597504	3726540800	1127591936	14639546368	245395456	2322595840	428765184	2996756480	0	0	0	23.520000000000003	3.92	110.0	77133096000	12855516000.0	780.0
montage2	0.01	mAdd	4	6	2	mAdd	AMD	EPYC 7B12	2.25	4	4	1	16824102912	13228400640	3595702272	1177378816	15646724096	274644992	2118807552	419422208	2812874752	0	0	0	13.69	3.4225	110.0	47131832000	11782958000.0	160.0
montage2	0.01	mAdd	4	6	2	mAdd	Intel®	Xeon®	2.8	4	4	1	16824102912	12775055360	4049047552	1387065344	15437037568	271142912	2357927936	440881152	3069952000	0	0	0	12.7	3.175	110.0	43822280000	10955570000.0	275.0
montage2	0.25	mAdd	4	62	2	mAdd	Intel®	Xeon®	2.2	4	4	1	16824102912	11148136448	5675966464	1179635712	15644467200	301924352	3999129600	597970944	4899024896	0	0	0	23.520000000000003	3.92	110.0	81848616000	13641436000.0	769.0
montage2	1.0	mAdd	4	436	2	mAdd	AMD	EPYC 7B12	2.25	4	4	1	16824102912	12692193280	4131909632	1367965696	15456137216	330919936	2068557824	825950208	3225427968	0	0	0	13.69	3.4225	110.0	47131832000	11782958000.0	241894.0
montage2	0.25	mAdd	4	62	2	mAdd	Intel®	Xeon® Platinum 8259CL	2.5	8	8	1	33359015936	27960381440	5398634496	1350787072	32008228864	2768896	3809173504	815251456	4627193856	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	569.0
montage2	1.0	mAdd	4	436	2	mAdd	Intel®	Xeon®	2.2	4	4	1	16824102912	10032627712	6791475200	1266888704	15557214208	292421632	5076271104	564703232	5933395968	0	0	0	23.520000000000003	3.92	110.0	81848616000	13641436000.0	9266.0
montage2	0.25	mAdd	4	62	2	mAdd	Intel®	Xeon®	2.8	4	4	1	16824102912	11173715968	5650386944	1205907456	15618195456	290029568	3984740352	579231744	4854001664	0	0	0	15.68	3.92	110.0	54565744000	13641436000.0	496.0
montage2	0.01	mAdd	4	6	2	mAdd	Intel®	Xeon®	2.2	4	4	1	15767138304	11781857280	3985281024	1374502912	14392635392	279863296	2238873600	449982464	2968719360	0	0	0	12.7	3.175	110.0	40992952000	10248238000.0	215.0
montage	0.25	mAdd	4	22	2	mAdd	Intel®	Xeon®	3.1	4	2	1	16824090624	8958291968	7865798656	1073217536	15750873088	123416576	6575489024	490921984	7189827584	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	163.0
montage2	0.25	mAdd	4	62	2	mAdd	Intel®	Xeon® Platinum 8175M	2.5	8	8	1	33359015936	29496406016	3862609920	1337253888	32021762048	2768896	2367004672	740671488	3110445056	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	704.0
montage2	1.0	mAdd	4	436	2	mAdd	Intel®	Xeon® Platinum 8259CL	2.5	2	2	1	8257200128	2364125184	5893074944	1597919232	6659280896	2768896	3659644928	1017319424	4679733248	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	12469.0
montage	0.25	mAdd	4	22	2	mAdd	Intel®	Xeon®	2.2	4	2	1	15767138304	13592604672	2174533632	1019064320	14748073984	61825024	1258340352	216719360	1536884736	0	0	0	23.520000000000003	3.92	110.0	77133096000	12855516000.0	232.0
montage2	0.01	mAdd	4	6	2	mAdd	Intel®	Xeon®	2.2	4	4	1	15767138304	12290068480	3477069824	1122398208	14644740096	215982080	2148843520	378355712	2743181312	0	0	0	23.520000000000003	3.92	110.0	77133096000	12855516000.0	179.0
montage2	0.25	mAdd	4	62	2	mAdd	Intel®	Xeon® Platinum 8259CL	2.5	2	2	1	8257200128	4789194752	3468005376	964046848	7293153280	2768896	2420088832	546230272	2969088000	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	668.0
montage	0.25	mAdd	4	22	2	mAdd	Intel®	Xeon® Platinum 8175M	2.5	2	1	1	8257200128	5569966080	2687234048	1078714368	7178485760	2768896	1355915264	535056384	1893740544	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	277.0
montage2	0.01	mAdd	4	6	2	mAdd	Intel®	Xeon® Platinum 8175M	2.5	8	8	1	33359015936	29422940160	3936075776	1306533888	32052482048	2768896	2337845248	872214528	3212828672	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	292.0
montage2	0.01	mAdd	4	6	2	mAdd	Intel®	Xeon®	3.1	4	4	1	16824107008	13994020864	2830086144	1073057792	15751049216	62910464	1844813824	246439936	2154164224	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	110.0
montage	1.0	mAdd	4	202	2	mAdd	Intel®	Xeon®	2.2	4	2	1	15767138304	13198307328	2568830976	1047449600	14719688704	113893376	1514520576	289349632	1917763584	0	0	0	23.520000000000003	3.92	110.0	77133096000	12855516000.0	3891.0
montage2	0.25	mAdd	4	62	2	mAdd	Intel®	Xeon® Platinum 8175M	2.5	2	2	1	8257200128	3593715712	4663484416	960946176	7296253952	2768896	3606265856	561999872	4171034624	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	773.0
montage2	1.0	mAdd	4	436	2	mAdd	Intel®	Xeon®	3.1	4	4	1	16824107008	7473635328	9350471680	1391992832	15432114176	338112512	7095934976	963506176	8397553664	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	6281.0
montage2	0.25	mAdd	4	62	2	mAdd	Intel®	Xeon®	2.2	4	4	1	16824102912	10894241792	5929861120	1182343168	15641759744	301588480	4248342528	600817664	5150748672	0	0	0	23.520000000000003	3.92	110.0	81848616000	13641436000.0	794.0
montage2	0.25	mAdd	4	62	2	mAdd	Intel®	Xeon®	2.2	4	4	1	16824102912	7467175936	9356926976	1232330752	15591772160	304066560	7544328192	687022080	8535416832	0	0	0	23.520000000000003	3.92	110.0	81848616000	13641436000.0	783.0
montage2	0.25	mAdd	4	62	2	mAdd	Intel®	Xeon®	3.1	4	4	1	16824107008	7864250368	8959856640	1282428928	15541678080	329699328	7022309376	732717056	8084725760	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	490.0
montage2	0.01	mAdd	4	6	2	mAdd	Intel®	Xeon®	3.1	4	4	1	16824090624	14387097600	2436993024	1009897472	15814193152	59080704	1531338752	220672000	1811091456	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	129.0
