,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,execTimeMs
18409,soykb,56.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,5067620352,3189579776,727678976,7529521152,2768896,2573860864,265121792,2841751552,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,1315853.0
18531,soykb,446.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,3.1,4,2,1,16824107008,5293146112,11530960896,1420734464,15403372544,323100672,9513189376,698286080,10534576128,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,946700.0
22205,soykb,56.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.2,4,2,1,16824102912,13199994880,3624108032,1213313024,15610789888,321724416,2045960192,459911168,2827595776,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,1616304.0
39615,soykb,238.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.2,4,2,1,16824840192,12196327424,4628512768,1068724224,15756115968,127066112,3460136960,371142656,3958345728,0,0,0,19.6,3.92,110.0,68210780000,13642156000.0,1395334.0
72869,soykb,56.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.8,4,2,1,16824102912,10686996480,6137106432,1469911040,15354191872,352743424,3788955648,928796672,5070495744,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,1210061.0
28908,soykb,82.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,3.1,4,2,1,16824107008,11025494016,5798612992,1318121472,15505985536,338137088,3760275456,833736704,4932149248,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,965366.0
27769,soykb,446.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,398737408,7858462720,1053736960,7203463168,2768896,6214991872,876937216,7094697984,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,1311751.0
12325,soykb,82.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,5728804864,2528395264,715833344,7541366784,2768896,1916174336,271106048,2190049280,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,1230884.0
18499,soykb,134.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4927127552,3330072576,723808256,7533391872,2768896,2672857088,317472768,2993098752,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,1258919.0
73492,soykb,446.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.8,4,2,1,16824102912,13113708544,3710394368,1067528192,15756574720,79446016,2641072128,313905152,3034423296,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,1018342.0
6522,soykb,446.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.8,4,2,1,16824102912,7585579008,9238523904,1236058112,15588044800,86102016,7829340160,469192704,8384634880,0,0,0,15.68,3.92,110.0,54565728000,13641432000.0,1132285.0
21449,soykb,238.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.2,4,2,1,16824102912,4774146048,12049956864,1528651776,15295451136,340967424,9511620608,1078419456,10931007488,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,1641425.0
82945,soykb,56.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.2,4,2,1,15767138304,5698260992,10068877312,1396953088,14370185216,289132544,8173748224,638197760,9101078528,0,0,0,23.520000000000003,3.92,110.0,77133080000,12855513333.333334,1412910.0
37781,soykb,238.0,bwa-wrapper,2,2,5,bwa-index,AMD,EPYC 7B12,2.25,4,2,1,16824086528,12701650944,4122435584,1078079488,15746007040,123236352,2970505216,345157632,3438899200,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,1089165.0
13406,soykb,134.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.2,4,2,1,15767138304,8456171520,7310966784,1186574336,14580563968,291393536,5689966592,563806208,6545166336,0,0,0,23.520000000000003,3.92,110.0,77133080000,12855513333.333334,1398063.0
37132,soykb,82.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.2,4,2,1,15767138304,9608540160,6158598144,1518714880,14248423424,338259968,3849347072,872382464,5059989504,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,1598907.0
70822,soykb,134.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.2,4,2,1,16824840192,6531284992,10293555200,1210642432,15614197760,183328768,8749756416,555249664,9488334848,0,0,0,19.6,3.92,110.0,68210780000,13642156000.0,1400273.0
10721,soykb,134.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,5062094848,3195105280,717246464,7539953664,2768896,2571415552,290295808,2864480256,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,1299218.0
