,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,execTimeMs
18805,soykb,446.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,3.1,4,2,1,16824107008,7162388480,9661718528,1356550144,15467556864,348450816,7432347648,995241984,8776040448,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,2759.0
22245,soykb,56.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,16824102912,10773078016,6051024896,1512198144,15311904768,309911552,3829678080,879751168,5019340800,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,3849.0
39658,soykb,238.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,16824840192,6407946240,10416893952,1037942784,15786897408,193945600,9045159936,540426240,9779531776,0,0,0,19.6,3.92,110.0,68210780000,13642156000.0,3696.0
73766,soykb,446.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.8,4,2,1,16824102912,12877070336,3947032576,1132601344,15691501568,142721024,2669522944,398266368,3210510336,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,3059.0
28977,soykb,82.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,3.1,4,2,1,16824107008,9996775424,6827331584,1356668928,15467438080,348446720,4673806336,916647936,5938900992,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,2743.0
81332,soykb,134.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,15767138304,9608183808,6158954496,1408741376,14358396928,341475328,3938951168,946958336,5227384832,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,3851.0
10714,soykb,134.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,5029621760,3227578368,737349632,7519850496,2768896,2565758976,313827328,2882355200,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,4101.0
18492,soykb,134.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,5143089152,3114110976,723218432,7533981696,2768896,2494459904,262443008,2759671808,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,3952.0
73865,soykb,134.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.8,4,2,1,16824102912,8620720128,8203382784,1407954944,15416147968,331853824,6000005120,874803200,7206662144,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,3130.0
6796,soykb,446.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.8,4,2,1,16824086528,10359910400,6464176128,1062469632,15761616896,144125952,5231845376,414445568,5790416896,0,0,0,15.68,3.92,110.0,54565728000,13641432000.0,3031.0
21492,soykb,238.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,16824102912,10185109504,6638993408,1257680896,15566422016,323481600,4921667584,547614720,5792763904,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,3751.0
28043,soykb,446.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4402688000,3854512128,894488576,7362711552,454656,3048001536,229953536,3278409728,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,4330.0
37824,soykb,238.0,gatk-wrapper,13,10,2,filtering_indel,AMD,EPYC 7B12,2.25,4,2,1,16824086528,13079134208,3744952320,1054146560,15769939968,145711104,2561593344,378753024,3086057472,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,3321.0
13399,soykb,134.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,15767138304,4749504512,11017633792,1385664512,14381473792,312385536,8945184768,798703616,10056273920,0,0,0,23.520000000000003,3.92,110.0,77133080000,12855513333.333334,4059.0
37201,soykb,82.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,15767138304,9627164672,6139973632,1407913984,14359224320,340897792,3932934144,935391232,5209223168,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,4008.0
72909,soykb,56.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.8,4,2,1,16824102912,10956410880,5867692032,1390632960,15433469952,332558336,3766214656,841891840,4940664832,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,3260.0
12254,soykb,446.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4359110656,3898089472,917778432,7339421696,454656,3063889920,255283200,3319627776,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,5131.0
30441,soykb,238.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,15767138304,9604526080,6162612224,1476554752,14290583552,338284544,3853578240,912248832,5104111616,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,4170.0
29213,soykb,238.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.8,4,2,1,16824102912,8793927680,8030175232,1373892608,15450210304,332025856,5886193664,823734272,7041953792,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,3286.0
18916,soykb,56.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,15767138304,9651769344,6115368960,1510969344,14256168960,338259968,3811500032,875397120,5025157120,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,4072.0
74581,soykb,238.0,gatk-wrapper,13,10,2,filtering_indel,AMD,EPYC 7B12,2.25,4,2,1,16824102912,8892813312,7931289600,1343209472,15480893440,314843136,5945671680,745738240,7006253056,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,3214.0
22570,soykb,238.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4405272576,3851927552,875139072,7382061056,425984,3065536512,239120384,3305082880,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,4192.0
7091,soykb,238.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,15767138304,8386899968,7380238336,1218625536,14548512768,291971072,5707526144,580448256,6579945472,0,0,0,23.520000000000003,3.92,110.0,77133080000,12855513333.333334,3792.0
6376,soykb,56.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,3.1,4,2,1,16824107008,13475573760,3348533248,1013465088,15810641920,78286848,2359975936,296267776,2734530560,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,2547.0
15340,soykb,446.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,23348854784,10010161152,1809076224,31549939712,2768896,6762205184,1986084864,8751058944,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,2723.0
82985,soykb,56.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,15767138304,10855575552,4911562752,1188802560,14578335744,307236864,3236147200,594841600,4138225664,0,0,0,23.520000000000003,3.92,110.0,77133080000,12855513333.333334,4156.0
81152,soykb,446.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,16824102912,10335047680,6489055232,1076391936,15747710976,121634816,5299707904,383139840,5804482560,0,0,0,23.520000000000003,3.92,110.0,81848584000,13641430666.666666,3719.0
