workflowName	size	executable	args	inputs	outputs	name	cpu.manufacturer	cpu.brand	cpu.speed	cpu.cores	cpu.physicalCores	cpu.processors	mem.total	mem.free	mem.used	mem.active	mem.available	mem.buffers	mem.cached	mem.slab	mem.buffcache	mem.swaptotal	mem.swapused	mem.swapfree	total_cpus	avg_cpus	avg_pods	total_ram_available	average_ram_available	execTimeMs
soykb	446.0	gatk-wrapper	9	650	2	merge_gcvf	Intel®	Xeon® Platinum 8259CL	2.5	2	1	1	8257200128	6898167808	1359032320	875413504	7381786624	425984	580624384	234762240	815812608	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	32120670.0
soykb	82.0	gatk-wrapper	9	90	2	merge_gcvf	Intel®	Xeon®	2.2	4	2	1	16824840192	12279578624	4545261568	1059659776	15765180416	106328064	3411902464	366301184	3884531712	0	0	0	19.6	3.92	110.0	68210780000	13642156000.0	3981651.0
soykb	56.0	gatk-wrapper	9	50	2	merge_gcvf	Intel®	Xeon®	2.8	4	2	1	16824102912	9897213952	6926888960	1407385600	15416717312	340828160	4760829952	912527360	6014185472	0	0	0	15.68	3.92	110.0	54565744000	13641436000.0	1659278.0
soykb	82.0	gatk-wrapper	9	90	2	merge_gcvf	Intel®	Xeon®	2.8	4	2	1	16824102912	10110046208	6714056704	1452740608	15371362304	339554304	4477579264	902504448	5719638016	0	0	0	12.7	3.175	110.0	43822280000	10955570000.0	3137620.0
soykb	238.0	gatk-wrapper	9	330	2	merge_gcvf	Intel®	Xeon® Platinum 8175M	2.5	8	4	1	33359015936	21760045056	11598970880	3547688960	29811326976	2768896	6657540096	1880875008	8541184000	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	14923176.0
soykb	446.0	gatk-wrapper	9	650	2	merge_gcvf	Intel®	Xeon®	3.1	4	2	1	16824107008	7978725376	8845381632	1117310976	15706796032	195985408	7344226304	591155200	8131366912	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	24631692.0
soykb	56.0	gatk-wrapper	9	50	2	merge_gcvf	AMD	EPYC 7B12	2.25	4	2	1	16824102912	11048927232	5775175680	1339928576	15484174336	339447808	3677786112	879403008	4896636928	0	0	0	13.69	3.4225	110.0	47131832000	11782958000.0	1402312.0
soykb	238.0	gatk-wrapper	9	330	2	merge_gcvf	Intel®	Xeon® Platinum 8175M	2.5	8	4	1	33359015936	21749256192	11609759744	3452653568	29906362368	2768896	6702137344	1944780800	8649687040	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	15066348.0
soykb	238.0	gatk-wrapper	9	330	2	merge_gcvf	Intel®	Xeon®	2.8	4	2	1	16824102912	10350600192	6473502720	1411129344	15412973568	333058048	4310339584	880766976	5524164608	0	0	0	12.7	3.175	110.0	43822280000	10955570000.0	13011994.0
soykb	56.0	gatk-wrapper	9	50	2	merge_gcvf	Intel®	Xeon® Platinum 8259CL	2.5	2	1	1	8257200128	4730032128	3527168000	730914816	7526285312	2768896	2897145856	278863872	3178778624	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	1935817.0
