,dataset,pipeline,name,pca,adjusted_r2,r2,mae,mape,best_score,params
3,ShorterThan1.2Kms,7cat_more_res,elasticnet,65,0.7513898569635926,0.7519368341405543,83.53170960983658,0.41030364805784364,0.7503224552838759,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.1, 'pca__n_components': 65}"
4,ShorterThan1.2Kms,7cat_more_res,svr,46,0.7526194546886027,0.7531637265781445,83.72724901409113,0.4095441137002409,0.7532395538764138,"{'pca__n_components': 46, 'svr__alpha': 0.10010000000000001, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,ShorterThan1.2Kms,8cat_more_res,knn,85,0.8312495140298028,0.8316330285889576,55.94236255500218,0.21185684893060291,0.8238652654547174,"{'knn__n_neighbors': 3, 'pca__n_components': 85}"
1,ShorterThan1.2Kms,8cat_more_res,dtr,66,0.744843760987437,0.7454236475101801,67.34063875054397,0.2577047034439113,0.684612690211594,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 66}"
2,ShorterThan1.2Kms,8cat_more_res,lasso,86,0.7612768895744415,0.7618194289806455,81.24052646320922,0.3932484448364758,0.7595660664253732,"{'lasso__alpha': 0.21000000000000002, 'pca__n_components': 86}"
3,ShorterThan1.2Kms,8cat_more_res,elasticnet,75,0.753237344202562,0.7537981548610316,82.3838551950138,0.40303041117443517,0.7511954256956781,"{'elasticnet__alpha': 0.060000000000000005, 'elasticnet__l1_ratio': 0.9, 'pca__n_components': 75}"
4,ShorterThan1.2Kms,8cat_more_res,svr,43,0.7515135318940047,0.752078260213,82.60870670730705,0.4035930332246903,0.7497896755402239,"{'pca__n_components': 43, 'svr__alpha': 0.1701, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,ShorterThan1.2Kms,9cat_more_res,knn,67,0.838875106774338,0.839252977586042,54.87417798945892,0.21008145184258947,0.8339293824784559,"{'knn__n_neighbors': 4, 'pca__n_components': 67}"
1,ShorterThan1.2Kms,9cat_more_res,dtr,54,0.7457108886751111,0.7463072486228521,66.83172960688555,0.2557685400228258,0.7029391798719868,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 54}"
2,ShorterThan1.2Kms,9cat_more_res,lasso,82,0.7513727122615846,0.7519557940756275,83.3228949730305,0.42244147944761273,0.7496226802669272,"{'lasso__alpha': 0.66, 'pca__n_components': 82}"
3,ShorterThan1.2Kms,9cat_more_res,elasticnet,94,0.7540636118593885,0.7546403829638019,82.77624641807158,0.4134854516081737,0.7524966576639591,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.2, 'pca__n_components': 94}"
4,ShorterThan1.2Kms,9cat_more_res,svr,50,0.7565321370446685,0.7571031189529074,82.11724445089092,0.40574277701867384,0.7553292134914371,"{'pca__n_components': 50, 'svr__alpha': 0.050100000000000006, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,ShorterThan1.2Kms,10cat_more_res,knn,81,0.8437820206487661,0.8441597145617548,54.70147720129587,0.2109736575365178,0.8383181952275789,"{'knn__n_neighbors': 4, 'pca__n_components': 81}"
1,ShorterThan1.2Kms,10cat_more_res,dtr,57,0.7481497628805795,0.7487586703951934,66.79680624728012,0.2575876787262409,0.7025358890119497,"{'dtr__criterion': 'mse', 'pca__n_components': 57}"
2,ShorterThan1.2Kms,10cat_more_res,lasso,83,0.7637444335569693,0.7643156372668483,82.38327008533192,0.4152512558609183,0.7608343234713703,"{'lasso__alpha': 0.16000000000000003, 'pca__n_components': 83}"
