,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,read_sum,write_sum,cpu_max,cpu_mean,memory_mean,memory_max,execTimeMs
13400,montage2,0.25,mConcatFit,3,142,1,mConcatFit,Intel®,Xeon® Platinum 8259CL,2.5,8,8,1,33359015936,27983073280,5375942656,1396850688,31962165248,2768896,3549868032,1019662336,4572299264,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.175,0.209375,0.209375,0.209375,0.4125,0.4125,1511.0
19349,montage,2.0,mConcatFit,3,863,1,mConcatFit,Intel®,Xeon®,2.8,4,2,1,16824102912,11052199936,5771902976,1225814016,15598288896,208814080,4246663168,502263808,4957741056,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.75,0.76875,0.41875,0.6,0.05625,0.19375,20450.0
25,montage2,0.01,mConcatFit,3,2,1,mConcatFit,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,4875931648,3381268480,966782976,7290417152,2768896,2387824640,477696000,2868289536,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.175,0.209375,0.209375,0.209375,0.3,0.3,153.0
77443,montage2,1.0,mConcatFit,3,1138,1,mConcatFit,Intel®,Xeon®,2.2,4,4,1,16824102912,220327936,16603774976,1501560832,15322542080,321474560,14122348544,1083052032,15526875136,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.84375,0.84375,0.98125,0.9875,0.86875,0.69375,29468.0
35386,montage,0.25,mConcatFit,3,18,1,mConcatFit,Intel®,Xeon®,2.2,4,2,1,15767138304,13116661760,2650476544,1124458496,14642679808,64045056,1622228992,246849536,1933123584,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.378125,0.209375,0.209375,0.209375,0.0875,0.040625,213.0
6397,montage2,0.01,mConcatFit,3,2,1,mConcatFit,AMD,EPYC 7B12,2.25,4,4,1,16824102912,13418844160,3405258752,1302294528,15521808384,323170304,1647308800,547676160,2518155264,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.175,0.209375,0.209375,0.209375,0.49375,0.49375,124.0
38173,montage,2.0,mConcatFit,3,863,1,mConcatFit,Intel®,Xeon®,2.2,4,2,1,16824102912,10856833024,5967269888,1322086400,15502016512,324485120,4015087616,739250176,5078822912,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.7875,0.8125,0.865625,0.95,0.225,0.290625,26234.0
21138,montage,2.0,mConcatFit,3,863,1,mConcatFit,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,2826657792,5430542336,966123520,7291076608,2768896,4399951872,539185152,4941905920,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.70625,0.70625,0.51875,0.725,0.1,0.275,10835.0
5367,montage2,1.0,mConcatFit,3,1138,1,mConcatFit,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,4101058560,4156141568,1117655040,7139545088,2768896,2545364992,628772864,3176906752,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.81875,0.81875,0.4375,0.68125,0.875,0.775,22313.0
191,montage,2.0,mConcatFit,3,863,1,mConcatFit,Intel®,Xeon®,2.2,4,2,1,15767138304,12963258368,2803879936,1089114112,14678024192,189562880,1543012352,377630720,2110205952,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,0.725,0.725,0.74375,0.86875,0.075,0.215625,14659.0
30113,montage,1.0,mConcatFit,3,264,1,mConcatFit,Intel®,Xeon®,2.8,4,2,1,16824102912,11625517056,5198585856,1248440320,15575662592,145051648,3840856064,383451136,4369358848,0,0,0,15.68,3.92,110.0,54565744000,13641436000.0,0.65625,0.6625,0.83125,0.590625,0.03125,0.053125,2236.0
27601,montage,0.25,mConcatFit,3,18,1,mConcatFit,Intel®,Xeon®,2.0,2,1,1,4140863488,1971806208,2169057280,842788864,3298074624,60399616,1391157248,188641280,1640198144,0,0,0,9.71,2.4275,110.0,22335336000,5583834000.0,0.378125,0.209375,0.209375,0.209375,0.00625,0.00625,262.0
5,montage2,0.01,mConcatFit,3,2,1,mConcatFit,Intel®,Xeon® Platinum 8175M,2.5,2,2,1,8257200128,4655595520,3601604608,973930496,7283269632,2768896,2598944768,483958784,3085672448,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.175,0.209375,0.209375,0.209375,0.56875,0.56875,390.0
28349,montage2,0.25,mConcatFit,3,142,1,mConcatFit,Intel®,Xeon®,2.2,4,4,1,15767138304,12062752768,3704385536,1115955200,14651183104,242089984,2320269312,422486016,2984845312,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,0.5125,0.50625,0.725,0.5375,0.6875,0.5875,2576.0
11695,montage,1.0,mConcatFit,3,264,1,mConcatFit,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,5287309312,2969890816,854716416,7402483712,2768896,2097336320,388722688,2488827904,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.575,0.6125,0.5,0.44375,0.1625,0.1375,3213.0
7160,montage2,1.0,mConcatFit,3,1138,1,mConcatFit,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,4107153408,4150046720,1111560192,7145639936,2768896,2545364992,628772864,3176906752,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.8125,0.80625,0.446875,0.6875,0.81875,0.88125,21322.0
19132,montage2,0.25,mConcatFit,3,142,1,mConcatFit,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,3282554880,4974645248,1050656768,7206543360,2768896,3711045632,704696320,4418510848,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.59375,0.5625,0.553125,0.4625,0.66875,0.61875,2123.0
28723,montage,1.0,mConcatFit,3,264,1,mConcatFit,AMD,EPYC 7B12,2.25,4,2,1,16824102912,14533099520,2291003392,1022988288,15801114624,111153152,1301258240,270536704,1682948096,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.175,0.209375,0.209375,0.209375,0.01875,0.01875,1711.0
