,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,read_sum,write_sum,cpu_max,cpu_mean,memory_mean,memory_max,execTimeMs
28176,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4554985472,3702214656,821694464,7435505664,425984,3003109376,204832768,3208368128,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.7564402810304449,0.7540983606557377,0.053864168618266976,0.3442622950819672,0.0351288056206089,0.10304449648711944,198706.0
54823,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,AMD,EPYC 7B12,2.25,4,2,1,16824102912,4777512960,12046589952,6639013888,10185089024,151764992,5262139392,386912256,5800816640,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,0.8454332552693208,0.8548009367681498,0.18618266978922715,0.06088992974238876,0.7377049180327869,0.4613583138173302,232724.0
45511,soykb,82.0,gatk-wrapper,11,11,1,realign_target_creator,AMD,EPYC 7B12,2.25,4,2,1,16824086528,10575355904,6248730624,985370624,15838715904,90279936,5241348096,324640768,5656268800,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,0.2107728337236534,0.2107728337236534,0.7435597189695551,0.6088992974238876,0.4332552693208431,0.11007025761124123,95027.0
27266,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,15767138304,11852611584,3914526720,1175990272,14591148032,88801280,2700623872,332828672,3122253824,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.7939110070257611,0.7985948477751756,0.21311475409836067,0.2810304449648712,0.6978922716627635,0.819672131147541,212099.0
28299,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8175M,2.5,2,1,1,8257200128,5344993280,2912206848,1071902720,7185297408,2768896,1564123136,574287872,2141179904,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.7423887587822015,0.7306791569086651,0.16627634660421545,0.36768149882903983,0.02576112412177986,0.00702576112412178,193780.0
27605,soykb,82.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,5017526272,3239673856,719339520,7537860608,2768896,2615664640,290914304,2909347840,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.6932084309133489,0.7002341920374707,0.15339578454332553,0.405152224824356,0.7985948477751756,0.882903981264637,188960.0
29283,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.8,4,2,1,16824102912,10397257728,6426845184,1632190464,15191912448,339558400,4003938304,911872000,5255368704,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.8711943793911007,0.8477751756440282,0.22716627634660422,0.16393442622950818,0.9086651053864169,0.2224824355971897,229887.0
39577,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,16824840192,3765133312,13059706880,1213837312,15611002880,190738432,11485507584,569860096,12246106112,0,0,0,19.6,3.92,110.0,68210780000,13642156000.0,0.3091334894613583,0.31381733021077285,0.4824355971896956,0.7447306791569086,0.14988290398126464,0.2716627634660422,111312.0
39700,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,16824840192,12619202560,4205637632,1013719040,15811121152,111792128,3123679232,348532736,3584004096,0,0,0,19.6,3.92,110.0,68210780000,13642156000.0,0.4332552693208431,0.4238875878220141,0.6206088992974239,0.5667447306791569,0.7915690866510539,0.5995316159250585,121169.0
6846,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.8,4,2,1,16824102912,7109828608,9714274304,1247698944,15576403968,175837184,8122736640,562728960,8861302784,0,0,0,15.68,3.92,110.0,54565728000,13641432000.0,0.2154566744730679,0.2154566744730679,0.4496487119437939,0.7306791569086651,0.7775175644028103,0.9929742388758782,96664.0
