workflowName	size	executable	args	inputs	outputs	name	cpu.manufacturer	cpu.brand	cpu.speed	cpu.cores	cpu.physicalCores	cpu.processors	mem.total	mem.free	mem.used	mem.active	mem.available	mem.buffers	mem.cached	mem.slab	mem.buffcache	mem.swaptotal	mem.swapused	mem.swapfree	total_cpus	avg_cpus	avg_pods	total_ram_available	average_ram_available	read_sum	write_sum	cpu_max	cpu_mean	memory_mean	memory_max	execTimeMs
montage	2.0	mBgModel	5	2	1	mBgModel	Intel®	Xeon®	2.2	4	2	1	16824102912	12974637056	3849465856	1215565824	15608537088	314585088	2204176384	521293824	3040055296	0	0	0	23.520000000000003	3.92	110.0	81848616000	13641436000.0	0.746875	0.821875	0.6	0.91875	0.2875	0.275	41328.0
montage	2.0	mBgModel	5	2	1	mBgModel	Intel®	Xeon® Platinum 8175M	2.5	2	1	1	8257200128	5394755584	2862444544	961241088	7295959040	2768896	1883262976	492183552	2378215424	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	0.76875	0.88125	0.6	0.8	0.084375	0.24375	42108.0
montage2	1.0	mBgModel	5	2	1	mBgModel	Intel®	Xeon® Platinum 8259CL	2.5	2	2	1	8257200128	4570238976	3686961152	1286877184	6970322944	2768896	1783951360	808714240	2595434496	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	0.996875	0.978125	0.33125	0.55625	1.0	0.975	79194.0
montage	2.0	mBgModel	5	2	1	mBgModel	Intel®	Xeon®	2.2	4	2	1	15767138304	10438430720	5328707584	1165950976	14601187328	202862592	3914190848	451170304	4568223744	0	0	0	23.520000000000003	3.92	110.0	77133096000	12855516000.0	0.734375	0.821875	0.875	0.925	0.2875	0.275	41884.0
montage	1.0	mBgModel	5	2	1	mBgModel	Intel®	Xeon®	2.8	4	2	1	16824102912	14561357824	2262745088	1045864448	15778238464	113893376	1231179776	270401536	1615474688	0	0	0	15.68	3.92	110.0	54565744000	13641436000.0	0.596875	0.596875	0.6	0.628125	0.175	0.15625	9843.0
montage	0.25	mBgModel	5	2	1	mBgModel	Intel®	Xeon®	2.0	2	1	1	4140879872	1734148096	2406731776	882741248	3258138624	65015808	1577066496	206057472	1848139776	0	0	0	9.71	2.4275	110.0	22335336000	5583834000.0	0.140625	0.165625	0.165625	0.165625	0.084375	0.065625	1057.0
montage2	0.01	mBgModel	5	2	1	mBgModel	Intel®	Xeon® Platinum 8259CL	2.5	2	2	1	8257200128	5284880384	2972319744	893562880	7363637248	2768896	2123358208	319184896	2445312000	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	0.140625	0.165625	0.165625	0.165625	0.3875	0.3875	526.0
montage2	0.25	mBgModel	5	2	1	mBgModel	Intel®	Xeon®	2.2	4	4	1	15767138304	11683504128	4083634176	1167286272	14599852032	249667584	2614562816	453627904	3317858304	0	0	0	23.520000000000003	3.92	110.0	77133096000	12855516000.0	0.440625	0.440625	0.6	0.50625	0.60625	0.575	5804.0
montage	1.0	mBgModel	5	2	1	mBgModel	Intel®	Xeon® Platinum 8259CL	2.5	2	1	1	8257200128	3900256256	4356943872	941174784	7316025344	2768896	3309236224	564973568	3876978688	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	0.628125	0.621875	0.6	0.64375	0.128125	0.109375	11620.0
montage2	1.0	mBgModel	5	2	1	mBgModel	Intel®	Xeon® Platinum 8259CL	2.5	2	2	1	8257200128	4726882304	3530317824	1131245568	7125954560	2768896	1783533568	807096320	2593398784	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	0.996875	0.978125	0.3375	0.5625	0.99375	0.91875	78116.0
montage2	0.25	mBgModel	5	2	1	mBgModel	Intel®	Xeon® Platinum 8259CL	2.5	2	2	1	8257200128	3191513088	5065687040	1038315520	7218884608	2768896	3811569664	705875968	4520214528	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	0.559375	0.55625	0.3625	0.54375	0.71875	0.64375	6598.0
montage	1.0	mBgModel	5	2	1	mBgModel	AMD	EPYC 7B12	2.25	4	2	1	16824102912	14504701952	2319400960	1054777344	15769325568	110833664	1301168128	269893632	1681895424	0	0	0	13.69	3.4225	110.0	47131832000	11782958000.0	0.646875	0.653125	0.6	0.684375	0.175	0.15625	13397.0
montage2	0.25	mBgModel	5	2	1	mBgModel	Intel®	Xeon®	2.2	4	4	1	15767138304	11402625024	4364513280	1113354240	14653784064	248471552	2926743552	474738688	3649953792	0	0	0	23.520000000000003	3.92	110.0	77133096000	12855516000.0	0.440625	0.440625	0.6	0.50625	0.6375	0.64375	5539.0
montage	1.0	mBgModel	5	2	1	mBgModel	AMD	EPYC 7B12	2.25	4	2	1	16824102912	13066178560	3757924352	1307832320	15516270592	311750656	2002284544	544636928	2858672128	0	0	0	13.69	3.4225	110.0	47131832000	11782958000.0	0.646875	0.653125	0.6	0.6625	0.04375	0.065625	13299.0
montage2	0.25	mBgModel	5	2	1	mBgModel	Intel®	Xeon®	2.8	4	4	1	16824102912	12702810112	4121292800	1322618880	15501484032	279781376	2423701504	511934464	3215417344	0	0	0	12.7	3.175	110.0	43822280000	10955570000.0	0.440625	0.440625	0.6	0.459375	0.6625	0.6875	5389.0
montage	2.0	mBgModel	5	2	1	mBgModel	Intel®	Xeon®	3.1	4	2	1	16824090624	9724792832	7099297792	1301901312	15522189312	337129472	5206515712	668913664	6212558848	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.68125	0.684375	0.875	0.75625	0.2625	0.25	28707.0
montage2	0.01	mBgModel	5	2	1	mBgModel	Intel®	Xeon® Platinum 8259CL	2.5	2	2	1	8257200128	4876980224	3380219904	965066752	7292133376	2768896	2388103168	477892608	2868764672	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	0.140625	0.165625	0.165625	0.165625	0.25625	0.2375	455.0
montage2	1.0	mBgModel	5	2	1	mBgModel	Intel®	Xeon® Platinum 8259CL	2.5	2	2	1	8257200128	4713660416	3543539712	1644494848	6612705280	2768896	1173565440	1152503808	2328838144	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	0.978125	0.959375	0.375	0.725	0.98125	0.803125	53823.0
montage2	0.01	mBgModel	5	2	1	mBgModel	Intel®	Xeon®	2.2	4	4	1	15767138304	11886362624	3880775680	1232080896	14535057408	275169280	2331402240	437399552	3043971072	0	0	0	12.7	3.175	110.0	40992952000	10248238000.0	0.140625	0.165625	0.165625	0.165625	0.43125	0.43125	448.0
