,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,read_sum,write_sum,cpu_max,cpu_mean,memory_mean,memory_max,execTimeMs
35401,montage,0.25,mAdd,4,22,2,mAdd,Intel®,Xeon®,2.2,4,2,1,15767138304,13195735040,2571403264,1122996224,14644142080,66535424,1539510272,248582144,1854627840,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.53125,0.296875,0.296875,0.296875,0.134375,0.128125,831.0
6402,montage2,0.01,mAdd,4,6,2,mAdd,AMD,EPYC 7B12,2.25,4,4,1,16824102912,11350634496,5473468416,1371320320,15452782592,334147584,3370414080,817672192,4522233856,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.240625,0.296875,0.296875,0.296875,0.60625,0.3625,147.0
38516,montage,2.0,mAdd,4,616,2,mAdd,Intel®,Xeon®,2.2,4,2,1,16824102912,5690454016,11133648896,1449922560,15374180352,300838912,8971431936,845651968,10117922816,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.94375,0.9625,0.996875,0.98125,0.95625,0.9625,19933.0
21482,montage,2.0,mAdd,4,616,2,mAdd,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,1672581120,6584619008,1044602880,7212597248,2768896,5417328640,623194112,6043291648,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.90625,0.9375,0.81875,0.88125,0.91875,0.925,14468.0
5612,montage2,1.0,mAdd,4,436,2,mAdd,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,5322846208,2934353920,1240281088,7016919040,2768896,1013354496,897818624,1913942016,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.85625,0.85625,0.66875,0.66875,0.5125,0.43125,18172.0
535,montage,2.0,mAdd,4,616,2,mAdd,Intel®,Xeon®,2.2,4,2,1,15767138304,9732308992,6034829312,1176219648,14590918656,218664960,4573868032,474476544,5267009536,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,0.9375,0.95625,0.975,0.93125,0.9625,0.99375,16586.0
30227,montage,1.0,mAdd,4,202,2,mAdd,Intel®,Xeon®,2.8,4,2,1,16824102912,10432462848,6391640064,1286144000,15537958912,158191616,4936155136,430813184,5525159936,0,0,0,15.68,3.92,110.0,54565744000,13641436000.0,0.628125,0.640625,0.76875,0.79375,0.3,0.46875,3236.0
27615,montage,0.25,mAdd,4,22,2,mAdd,Intel®,Xeon®,2.0,2,1,1,4140863488,1948991488,2191872000,858128384,3282735104,63397888,1392832512,191926272,1648156672,0,0,0,9.71,2.4275,110.0,22335336000,5583834000.0,0.025,0.296875,0.296875,0.296875,0.175,0.16875,364.0
10,montage2,0.01,mAdd,4,6,2,mAdd,Intel®,Xeon® Platinum 8175M,2.5,2,2,1,8257200128,4617166848,3640033280,967827456,7289372672,2768896,2641481728,485441536,3129692160,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.240625,0.296875,0.296875,0.296875,0.74375,0.7125,216.0
28386,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon®,2.2,4,4,1,15767138304,12040667136,3726471168,1125904384,14641233920,245903360,2322776064,429522944,2998202368,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,0.415625,0.296875,0.296875,0.296875,0.81875,0.79375,713.0
