,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,read_sum,write_sum,cpu_max,cpu_mean,memory_mean,memory_max,execTimeMs
54918,soykb,446.0,bwa-wrapper,2,2,5,bwa-index,AMD,EPYC 7B12,2.25,4,2,1,16824086528,12948078592,3876007936,1113546752,15710539776,147783680,2645266432,363659264,3156709376,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,0.31746031746031744,0.31746031746031744,0.25396825396825395,0.4920634920634921,0.31746031746031744,0.7063492063492063,1097639.0
80878,soykb,446.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.2,4,2,1,16824086528,7666384896,9157701632,1169006592,15655079936,87769088,7827402752,469106688,8384278528,0,0,0,23.520000000000003,3.92,110.0,81848584000,13641430666.666666,0.7301587301587301,0.7301587301587301,0.25396825396825395,0.6349206349206349,0.6825396825396826,0.48412698412698413,1327480.0
45441,soykb,82.0,bwa-wrapper,2,2,5,bwa-index,AMD,EPYC 7B12,2.25,4,2,1,16824086528,13267415040,3556671488,994852864,15829233664,89313280,2550624256,316203008,2956140544,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,0.3492063492063492,0.3492063492063492,0.25396825396825395,0.42857142857142855,0.5873015873015873,0.9206349206349206,1101676.0
13504,soykb,82.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.2,4,2,1,16824840192,3849703424,12975136768,1181327360,15643512832,134307840,11489509376,569008128,12192825344,0,0,0,19.6,3.92,110.0,68210780000,13642156000.0,0.6825396825396826,0.6349206349206349,0.25396825396825395,0.7619047619047619,0.5396825396825397,0.7063492063492063,1304988.0
27246,soykb,446.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.2,4,2,1,15767138304,12002095104,3765043200,1040027648,14727110656,82591744,2702835712,316694528,3102121984,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.6349206349206349,0.7142857142857143,0.25396825396825395,0.14285714285714288,0.4761904761904762,0.07936507936507936,1344160.0
35519,soykb,446.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,2.2,4,2,1,16824832000,12036763648,4788068352,1120829440,15704002560,229036032,3375378432,479641600,4084056064,0,0,0,19.6,3.92,110.0,68210772000,13642154400.0,0.6666666666666667,0.5555555555555556,0.25396825396825395,0.4761904761904762,0.30158730158730157,0.9206349206349206,1297238.0
74989,soykb,134.0,bwa-wrapper,2,2,5,bwa-index,AMD,EPYC 7B12,2.25,4,2,1,16824102912,13373280256,3450822656,998866944,15825235968,95879168,2435883008,312979456,2844741632,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,0.33333333333333337,0.33333333333333337,0.25396825396825395,0.6031746031746031,0.5079365079365079,0.48412698412698413,1102954.0
15066,soykb,446.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,26216648704,7142367232,1860050944,31498964992,2768896,3966308352,1851203584,5820280832,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.25396825396825395,0.2698412698412698,0.25396825396825395,0.6507936507936507,0.1111111111111111,0.23015873015873015,1121860.0
74538,soykb,238.0,bwa-wrapper,2,2,5,bwa-index,AMD,EPYC 7B12,2.25,4,2,1,16824102912,10646495232,6177607680,1385680896,15438422016,339603456,4023955456,890937344,5254496256,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.36507936507936506,0.36507936507936506,0.25396825396825395,0.5079365079365079,0.36507936507936506,0.9206349206349206,1120191.0
74817,soykb,238.0,bwa-wrapper,2,2,5,bwa-index,Intel®,Xeon®,3.1,4,2,1,16824107008,11010170880,5813936128,1322647552,15501459456,338137088,3763589120,840769536,4942495744,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.09523809523809523,0.09523809523809523,0.6111111111111112,0.1746031746031746,0.047619047619047616,0.7063492063492063,944524.0
